rank,resume_id,category,composite_score,status,est_years_exp,tfidf_score,skill_match_pct,category_pct,exp_score,edu_score,total_skills,matched_skills,missing_skills,bonus_skills,snippet
11,1004,Data Science,70.91, Highly Recommended,7,45.1,80.43,87.5,87.5,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Emma Wilson | emma.w@email.com SUMMARY: Data Scientist with 7 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
12,1024,Data Science,70.61, Highly Recommended,6,45.1,80.43,87.5,75.0,85.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Emma Wilson | emma.w@email.com SUMMARY: Data Scientist with 6 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
13,1018,Data Science,69.11,  Potential Fit,5,45.1,80.43,87.5,62.5,85.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Sam Walker | sam.w@email.com SUMMARY: Data Scientist with 5 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive mo..."
14,1023,Data Science,68.8,  Potential Fit,5,44.89,80.43,87.5,62.5,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","David Kim | david.k@email.com SUMMARY: Data Scientist with 5 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive m..."
15,1001,Data Science,67.91,  Potential Fit,5,45.1,80.43,87.5,62.5,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Bob Martinez | bob.m@email.com SUMMARY: Data Scientist with 5 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
16,1022,Data Science,67.54,  Potential Fit,4,44.89,80.43,87.5,50.0,85.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Carol White | carol.w@email.com SUMMARY: Data Scientist with 4 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
17,1021,Data Science,66.41,  Potential Fit,4,45.1,80.43,87.5,50.0,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Bob Martinez | bob.m@email.com SUMMARY: Data Scientist with 4 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
18,1012,Data Science,66.11,  Potential Fit,3,45.1,80.43,87.5,37.5,85.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Maya Singh | maya.s@email.com SUMMARY: Data Scientist with 3 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive m..."
19,1002,Data Science,65.8,  Potential Fit,3,44.89,80.43,87.5,37.5,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Carol White | carol.w@email.com SUMMARY: Data Scientist with 3 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
20,1014,Data Science,64.61,  Potential Fit,2,45.1,80.43,87.5,25.0,85.0,44,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'oracle', 'transformers']","Olivia Thomas | olivia.t@email.com SUMMARY: Data Scientist with 2 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predict..."
21,1013,Data Science,64.54,  Potential Fit,2,44.89,80.43,87.5,25.0,85.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Noah Anderson | noah.a@email.com SUMMARY: Data Scientist with 2 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictiv..."
22,1000,Data Science,64.3,  Potential Fit,2,44.89,80.43,87.5,25.0,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Alice Johnson | alice.j@email.com SUMMARY: Data Scientist with 2 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predicti..."
23,1020,Data Science,64.3,  Potential Fit,2,44.89,80.43,87.5,25.0,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Alice Johnson | alice.j@email.com SUMMARY: Data Scientist with 2 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predicti..."
24,1005,Data Science,63.41,  Potential Fit,2,45.1,80.43,87.5,25.0,70.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Frank Chen | frank.c@email.com SUMMARY: Data Scientist with 2 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive..."
25,1010,Data Science,62.8,  Potential Fit,1,44.89,80.43,87.5,12.5,82.0,43,"['a/b testing', 'airflow', 'aws', 'bert', 'classification', 'clustering', 'deep learning', 'docker', 'hugging face', 'hypothesis testing', 'kafka', 'kubernetes', 'machine learning', 'matplotlib', 'mlflow', 'mongodb', 'nlp', 'nltk', 'numpy', 'pandas', 'postgresql', 'power bi', 'probability', 'python', 'pytorch', 'r', 'regression', 'scikit-learn', 'seaborn', 'spacy', 'spark', 'sql', 'statistics', 'tableau', 'tensorflow', 'time series', 'xgboost']","['agile', 'azure', 'bayesian', 'communication', 'gcp', 'leadership', 'lightgbm', 'scrum', 'teamwork']","['git', 'gradient boosting', 'jupyter', 'keras', 'linux', 'transformers']","Karen Lee | karen.l@email.com SUMMARY: Data Scientist with 1 years experience in machine learning, Python, NLP, and statistical modeling. Proven track record deploying predictive m..."
26,1039,Machine Learning,57.68,  Potential Fit,10,21.0,52.17,87.5,100.0,100.0,40,"['agile', 'airflow', 'aws', 'azure', 'bert', 'deep learning', 'docker', 'gcp', 'hugging face', 'kafka', 'kubernetes', 'lightgbm', 'machine learning', 'mlflow', 'mongodb', 'nlp', 'postgresql', 'python', 'pytorch', 'scikit-learn', 'spark', 'sql', 'tensorflow', 'xgboost']","['a/b testing', 'bayesian', 'classification', 'clustering', 'communication', 'hypothesis testing', 'leadership', 'matplotlib', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'statistics', 'tableau', 'teamwork', 'time series']","['bash', 'ci/cd', 'computer vision', 'git', 'gitlab', 'gpt', 'jenkins', 'keras', 'kubeflow', 'linux', 'ray', 'redis', 'reinforcement learning', 'scala', 'terraform', 'transformers']","Olivia Thomas | olivia.t@email.com ML ENGINEER — 10 YEARS EXPERIENCE: ML Engineer — Spotify • Production ML: PyTorch, TensorFlow, Keras, XGBoost, LightGBM, Scikit-learn • MLOps: ML..."
27,1038,Machine Learning,56.55,  Potential Fit,9,21.21,52.17,87.5,100.0,85.0,41,"['agile', 'airflow', 'aws', 'azure', 'bert', 'deep learning', 'docker', 'gcp', 'hugging face', 'kafka', 'kubernetes', 'lightgbm', 'machine learning', 'mlflow', 'mongodb', 'nlp', 'postgresql', 'python', 'pytorch', 'scikit-learn', 'spark', 'sql', 'tensorflow', 'xgboost']","['a/b testing', 'bayesian', 'classification', 'clustering', 'communication', 'hypothesis testing', 'leadership', 'matplotlib', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'statistics', 'tableau', 'teamwork', 'time series']","['bash', 'ci/cd', 'computer vision', 'git', 'gitlab', 'gpt', 'jenkins', 'keras', 'kubeflow', 'linux', 'ray', 'redis', 'reinforcement learning', 'scala', 'snowflake', 'terraform', 'transformers']","Noah Anderson | noah.a@email.com ML ENGINEER — 9 YEARS EXPERIENCE: ML Engineer — Snowflake • Production ML: PyTorch, TensorFlow, Keras, XGBoost, LightGBM, Scikit-learn • MLOps: MLf..."
28,1036,Machine Learning,56.55,  Potential Fit,8,21.21,52.17,87.5,100.0,85.0,40,"['agile', 'airflow', 'aws', 'azure', 'bert', 'deep learning', 'docker', 'gcp', 'hugging face', 'kafka', 'kubernetes', 'lightgbm', 'machine learning', 'mlflow', 'mongodb', 'nlp', 'postgresql', 'python', 'pytorch', 'scikit-learn', 'spark', 'sql', 'tensorflow', 'xgboost']","['a/b testing', 'bayesian', 'classification', 'clustering', 'communication', 'hypothesis testing', 'leadership', 'matplotlib', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'statistics', 'tableau', 'teamwork', 'time series']","['bash', 'ci/cd', 'computer vision', 'git', 'gitlab', 'gpt', 'jenkins', 'keras', 'kubeflow', 'linux', 'ray', 'redis', 'reinforcement learning', 'scala', 'terraform', 'transformers']","Liam Taylor | liam.t@email.com ML ENGINEER — 8 YEARS EXPERIENCE: ML Engineer — Apple • Production ML: PyTorch, TensorFlow, Keras, XGBoost, LightGBM, Scikit-learn • MLOps: MLflow, K..."
29,1046,Machine Learning,56.55,  Potential Fit,8,21.21,52.17,87.5,100.0,85.0,40,"['agile', 'airflow', 'aws', 'azure', 'bert', 'deep learning', 'docker', 'gcp', 'hugging face', 'kafka', 'kubernetes', 'lightgbm', 'machine learning', 'mlflow', 'mongodb', 'nlp', 'postgresql', 'python', 'pytorch', 'scikit-learn', 'spark', 'sql', 'tensorflow', 'xgboost']","['a/b testing', 'bayesian', 'classification', 'clustering', 'communication', 'hypothesis testing', 'leadership', 'matplotlib', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'statistics', 'tableau', 'teamwork', 'time series']","['bash', 'ci/cd', 'computer vision', 'git', 'gitlab', 'gpt', 'jenkins', 'keras', 'kubeflow', 'linux', 'ray', 'redis', 'reinforcement learning', 'scala', 'terraform', 'transformers']","Bob Martinez | bob.m@email.com ML ENGINEER — 8 YEARS EXPERIENCE: ML Engineer — Palantir • Production ML: PyTorch, TensorFlow, Keras, XGBoost, LightGBM, Scikit-learn • MLOps: MLflow..."
30,1035,Machine Learning,56.28,  Potential Fit,8,21.1,52.17,87.5,100.0,82.0,40,"['agile', 'airflow', 'aws', 'azure', 'bert', 'deep learning', 'docker', 'gcp', 'hugging face', 'kafka', 'kubernetes', 'lightgbm', 'machine learning', 'mlflow', 'mongodb', 'nlp', 'postgresql', 'python', 'pytorch', 'scikit-learn', 'spark', 'sql', 'tensorflow', 'xgboost']","['a/b testing', 'bayesian', 'classification', 'clustering', 'communication', 'hypothesis testing', 'leadership', 'matplotlib', 'nltk', 'numpy', 'pandas', 'power bi', 'probability', 'r', 'regression', 'scrum', 'seaborn', 'spacy', 'statistics', 'tableau', 'teamwork', 'time series']","['bash', 'ci/cd', 'computer vision', 'git', 'gitlab', 'gpt', 'jenkins', 'keras', 'kubeflow', 'linux', 'ray', 'redis', 'reinforcement learning', 'scala', 'terraform', 'transformers']","Karen Lee | karen.l@email.com ML ENGINEER — 8 YEARS EXPERIENCE: ML Engineer — Adobe • Production ML: PyTorch, TensorFlow, Keras, XGBoost, LightGBM, Scikit-learn • MLOps: MLflow, Ku..."
